code,single,multi_1,multi_2
'0T774DZ','102','10','10.1'
'0T777DZ','102','10','10.1'
'0T780DZ','102','10','10.1'
'0T783DZ','102','10','10.1'
'0T784DZ','102','10','10.1'
'0T787DZ','102','10','10.1'
'0T787ZZ','102','10','10.1'
'0T788ZZ','102','10','10.1'
'0T9600Z','102','10','10.1'
'0T9630Z','102','10','10.1'
'0T9640Z','102','10','10.1'
'0T9670Z','102','10','10.1'
'0T9680Z','102','10','10.1'
'0T9700Z','102','10','10.1'
'0T9730Z','102','10','10.1'
'0T9740Z','102','10','10.1'
'0T9770Z','102','10','10.1'
'0T9780Z','102','10','10.1'
'0T9800Z','102','10','10.1'
'0T9830Z','102','10','10.1'
'0T9840Z','102','10','10.1'
'0T9870Z','102','10','10.1'
'0T9880Z','102','10','10.1'
'0TC00ZZ','103','10','10.2'
'0TC03ZZ','103','10','10.2'
'0TC04ZZ','103','10','10.2'
'0TC07ZZ','103','10','10.2'
'0TC08ZZ','103','10','10.2'
'0TC10ZZ','103','10','10.2'
'0TC13ZZ','103','10','10.2'
'0TC14ZZ','103','10','10.2'
'0TC17ZZ','103','10','10.2'
'0TC18ZZ','103','10','10.2'
'0TC30ZZ','103','10','10.2'
'0TC33ZZ','103','10','10.2'
'0TC34ZZ','103','10','10.2'
'0TC40ZZ','103','10','10.2'
'0TC43ZZ','103','10','10.2'
'0TC44ZZ','103','10','10.2'
'0TB00ZZ','104','10','10.3'
'0TB03ZZ','104','10','10.3'
'0TB04ZZ','104','10','10.3'
'0TB07ZZ','104','10','10.3'
'0TB08ZZ','104','10','10.3'
'0TB10ZZ','104','10','10.3'
'0TB13ZZ','104','10','10.3'
'0TB14ZZ','104','10','10.3'
'0TB17ZZ','104','10','10.3'
'0TB18ZZ','104','10','10.3'
'0TB30ZZ','104','10','10.3'
'0TB33ZZ','104','10','10.3'
'0TB34ZZ','104','10','10.3'
'0TB37ZZ','104','10','10.3'
'0TB38ZZ','104','10','10.3'
'0TB40ZZ','104','10','10.3'
'0TB43ZZ','104','10','10.3'
'0TB44ZZ','104','10','10.3'
'0TB47ZZ','104','10','10.3'
'0TB48ZZ','104','10','10.3'
'0TT00ZZ','104','10','10.3'
'0TT04ZZ','104','10','10.3'
'0TT10ZZ','104','10','10.3'
'0TT14ZZ','104','10','10.3'
'0TT20ZZ','104','10','10.3'
'0TT24ZZ','104','10','10.3'
'0TT30ZZ','104','10','10.3'
'0TT34ZZ','104','10','10.3'
'0TT37ZZ','104','10','10.3'
'0TT38ZZ','104','10','10.3'
'0TT40ZZ','104','10','10.3'
'0TT44ZZ','104','10','10.3'
'0TT47ZZ','104','10','10.3'
'0TT48ZZ','104','10','10.3'
'0TY00Z0','105','10','10.4'
'0TY00Z1','105','10','10.4'
'0TY00Z2','105','10','10.4'
'0TY10Z0','105','10','10.4'
'0TY10Z1','105','10','10.4'
'0TY10Z2','105','10','10.4'
'0TUC07Z','106','10','10.5'
'0TUC0JZ','106','10','10.5'
'0TUC0KZ','106','10','10.5'
'0TUC47Z','106','10','10.5'
'0TUC4JZ','106','10','10.5'
'0TUC4KZ','106','10','10.5'
