code,multi_1,multi_2,multi_3,multi_4
'0228 ','1','1.1','1.1.4',' '
'0229 ','1','1.1','1.1.4',' '
'0230 ','1','1.1','1.1.4',' '
'0231 ','1','1.1','1.1.4',' '
'0232 ','1','1.1','1.1.4',' '
'0233 ','1','1.1','1.1.4',' '
'0238 ','1','1.1','1.1.4',' '
'0239 ','1','1.1','1.1.4',' '
'024  ','1','1.1','1.1.4',' '
'025  ','1','1.1','1.1.4',' '
'0260 ','1','1.1','1.1.4',' '
'0269 ','1','1.1','1.1.4',' '
'0270 ','1','1.1','1.1.4',' '
'0271 ','1','1.1','1.1.4',' '
'0272 ','1','1.1','1.1.4',' '
'0278 ','1','1.1','1.1.4',' '
'0279 ','1','1.1','1.1.4',' '
'0300 ','1','1.1','1.1.4',' '
'0301 ','1','1.1','1.1.4',' '
'0302 ','1','1.1','1.1.4',' '
'0303 ','1','1.1','1.1.4',' '
'0308 ','1','1.1','1.1.4',' '
'0309 ','1','1.1','1.1.4',' '
'0312 ','1','1.1','1.1.4',' '
'0318 ','1','1.1','1.1.4',' '
'0319 ','1','1.1','1.1.4',' '
'03289','1','1.1','1.1.4',' '
'0329 ','1','1.1','1.1.4',' '
'0330 ','1','1.1','1.1.4',' '
'0331 ','1','1.1','1.1.4',' '
'0338 ','1','1.1','1.1.4',' '
'0339 ','1','1.1','1.1.4',' '
'0341 ','1','1.1','1.1.4',' '
'0363 ','1','1.1','1.1.4',' '
'03681','1','1.1','1.1.4',' '
'03689','1','1.1','1.1.4',' '
'0369 ','1','1.1','1.1.4',' '
'037  ','1','1.1','1.1.4',' '
'0392 ','1','1.1','1.1.4',' '
'0393 ','1','1.1','1.1.4',' '
'0394 ','1','1.1','1.1.4',' '
'0398 ','1','1.1','1.1.4',' '
'0399 ','1','1.1','1.1.4',' '
'0400 ','1','1.1','1.1.4',' '
'0401 ','1','1.1','1.1.4',' '
'0402 ','1','1.1','1.1.4',' '
'0403 ','1','1.1','1.1.4',' '
'04042','1','1.1','1.1.4',' '
'04081','1','1.1','1.1.4',' '
'04082','1','1.1','1.1.4',' '
'04089','1','1.1','1.1.4',' '
'0410 ','1','1.1','1.1.4',' '
'04100','1','1.1','1.1.4',' '
'04101','1','1.1','1.1.4',' '
'04102','1','1.1','1.1.4',' '
'04103','1','1.1','1.1.4',' '
'04104','1','1.1','1.1.4',' '
'04105','1','1.1','1.1.4',' '
